kernel_size,nb_threads,ips
1,2,4.82791
1,4,7.59403
1,6,12.4394
1,8,12.729
1,10,17.0988
1,12,19.3507
1,14,14.7979
1,16,17.4262
1,18,15.1986
1,20,16.413
1,22,14.9518
1,24,16.3687
1,26,20.006
1,28,15.8784
1,30,17.0349
1,32,20.3174
1,34,23.1155
1,36,20.6869
1,38,21.2749
1,40,15.4951
1,42,18.038
1,44,20.4788
1,46,17.3807
1,48,17.8709
1,50,19.4167
1,52,16.8807
1,54,17.9573
1,56,19.7089
1,58,16.4232
1,60,21.7435
1,62,22.211
1,64,15.8176
1,-1,13.6802
4,2,0.839457
4,4,1.54626
4,6,2.2366
4,8,2.23414
4,10,2.57176
4,12,2.81816
4,14,2.84755
4,16,3.17357
4,18,3.01996
4,20,2.93507
4,22,3.16087
4,24,3.18576
4,26,3.14323
4,28,3.22826
4,30,3.20116
4,32,3.22097
4,34,3.14868
4,36,3.06686
4,38,3.19783
4,40,3.24973
4,42,3.3111
4,44,3.35839
4,46,2.95523
4,48,3.24384
4,50,3.28648
4,52,3.14278
4,54,3.39325
4,56,3.4676
4,58,3.35748
4,60,3.32071
4,62,3.2361
4,64,3.41047
4,-1,3.26308
8,2,0.247108
8,4,0.454058
8,6,0.63143
8,8,0.749136
8,10,0.826047
8,12,0.920256
8,14,0.997135
8,16,0.98791
8,18,0.97463
8,20,1.05223
8,22,1.04243
8,24,1.06087
8,26,1.03693
8,28,1.07037
8,30,1.0901
8,32,1.0664
8,34,1.05717
8,36,1.09263
8,38,1.06953
8,40,1.04792
8,42,1.0635
8,44,1.02665
8,46,1.037
8,48,1.09323
8,50,1.00838
8,52,0.994876
8,54,1.03003
8,56,1.03787
8,58,1.02627
8,60,1.04628
8,62,1.05533
8,64,1.07625
8,-1,0.960925
16,2,0.0645463
16,4,0.120634
16,6,0.176303
16,8,0.222797
16,10,0.239441
16,12,0.258193
16,14,0.279253
16,16,0.295439
16,18,0.285127
16,20,0.283206
16,22,0.285495
16,24,0.286635
16,26,0.296342
16,28,0.299179
16,30,0.294191
16,32,0.298421
16,34,0.300328
16,36,0.297175
16,38,0.301552
16,40,0.297028
16,42,0.294442
16,44,0.291649
16,46,0.290089
16,48,0.295212
16,50,0.296588
16,52,0.298971
16,54,0.297597
16,56,0.304903
16,58,0.309777
16,60,0.302403
16,62,0.297861
16,64,0.300078
16,-1,0.28142
