neighbor_size,nb_threads,ips
1,2,0.31784
4,2,0.286397
8,2,0.244694
16,2,0.150058
1,4,0.595407
4,4,0.503362
8,4,0.455719
16,4,0.290175
1,6,0.735545
4,6,0.784182
8,6,0.57304
16,6,0.397047
1,8,0.903139
4,8,0.835308
8,8,0.708223
16,8,0.442553
1,10,1.05579
4,10,0.94806
8,10,0.791548
16,10,0.489708
1,12,1.16547
4,12,1.05413
8,12,0.870434
16,12,0.58434
1,14,1.22689
4,14,1.16484
8,14,1.00195
16,14,0.622397
1,16,1.26542
4,16,1.13978
8,16,0.951441
16,16,0.629555
1,18,1.26197
4,18,1.14329
8,18,0.954718
16,18,0.590273
1,20,1.21464
4,20,1.15358
8,20,0.989575
16,20,0.623747
1,22,1.33229
4,22,0.910645
8,22,0.999369
16,22,0.64109
1,24,1.27902
4,24,1.28827
8,24,1.01275
16,24,0.63694
1,26,1.25412
4,26,1.23406
8,26,0.993074
16,26,0.648072
1,28,1.38192
4,28,1.23385
8,28,1.00566
16,28,0.639311
1,30,1.36543
4,30,1.16466
8,30,1.02688
16,30,0.636029
1,32,1.32595
4,32,1.23867
8,32,1.02764
16,32,0.638606
1,34,1.30985
4,34,1.21487
8,34,0.992309
16,34,0.64353
1,36,1.31842
4,36,1.2269
8,36,0.98458
16,36,0.656569
1,38,1.38328
4,38,1.2391
8,38,1.01729
16,38,0.676587
1,40,1.34426
4,40,1.27045
8,40,1.04533
16,40,0.654218
1,42,1.3872
4,42,1.29138
8,42,0.999686
16,42,0.651862
1,44,1.40713
4,44,1.23447
8,44,1.06068
16,44,0.672158
1,46,1.29242
4,46,1.24265
8,46,1.04685
16,46,0.653682
1,48,1.33093
4,48,1.29465
8,48,1.01912
16,48,0.653059
1,50,1.3701
4,50,1.2116
8,50,1.04517
16,50,0.671292
1,52,1.30923
4,52,1.2649
8,52,1.03971
16,52,0.656464
1,54,1.4051
4,54,1.32441
8,54,1.04042
16,54,0.656264
1,56,1.42376
4,56,1.20686
8,56,1.06131
16,56,0.666153
1,58,1.36307
4,58,1.29176
8,58,1.06469
16,58,0.65641
1,60,1.39652
4,60,1.27832
8,60,1.01903
16,60,0.66235
1,62,1.34231
4,62,1.20575
8,62,1.03078
16,62,0.657859
1,64,1.37796
4,64,1.26216
8,64,1.05552
16,64,0.637616
1,-1,1.19196
4,-1,1.15155
8,-1,0.959891
16,-1,0.630137
