blockDimX,blockDimY,ips
1,1,154.96
1,2,169.757
1,4,226.767
1,8,308.264
1,16,230.807
1,32,272.467
1,64,243.17
2,1,153.87
2,2,192.216
2,4,236.378
2,8,247.102
2,16,326.824
2,32,214.693
2,64,305.448
4,1,231.502
4,2,162.177
4,4,281.011
4,8,258.98
4,16,217.561
4,32,235.616
4,64,266.801
8,1,272.869
8,2,257.106
8,4,336.665
8,8,222.788
8,16,300.399
8,32,244.127
8,64,309.0
16,1,219.947
16,2,236.4
16,4,263.098
16,8,226.055
16,16,249.751
16,32,265.887
16,64,182.803
32,1,251.66
32,2,228.773
32,4,276.76
32,8,277.757
32,16,212.952
32,32,245.837
32,64,402.905
64,1,159.969
64,2,384.917
64,4,212.079
64,8,225.311
64,16,362.655
64,32,316.916
64,64,272.309
