kernel_size,blockDimX,blockDimY,ips
1,1,1,119.992
1,1,2,182.408
1,1,4,182.818
1,1,8,384.723
1,1,16,385.298
1,1,32,397.945
1,1,64,366.544
1,2,1,163.061
1,2,2,375.451
1,2,4,422.244
1,2,8,324.15
1,2,16,504.412
1,2,32,443.508
1,2,64,457.607
1,4,1,286.956
1,4,2,193.917
1,4,4,462.739
1,4,8,515.53
1,4,16,305.551
1,4,32,341.208
1,4,64,489.107
1,8,1,413.437
1,8,2,207.354
1,8,4,567.044
1,8,8,407.467
1,8,16,430.6
1,8,32,488.988
1,8,64,472.524
1,16,1,464.384
1,16,2,201.399
1,16,4,513.332
1,16,8,401.304
1,16,16,533.503
1,16,32,563.596
1,16,64,443.402
1,32,1,534.486
1,32,2,537.688
1,32,4,404.095
1,32,8,497.487
1,32,16,514.629
1,32,32,459.302
1,32,64,596.994
1,64,1,518.686
1,64,2,512.518
1,64,4,441.016
1,64,8,484.566
1,64,16,479.568
1,64,32,619.039
1,64,64,630.464
4,1,1,45.6786
4,1,2,73.9273
4,1,4,108.901
4,1,8,113.87
4,1,16,118.256
4,1,32,125.885
4,1,64,105.806
4,2,1,73.9046
4,2,2,121.599
4,2,4,176.642
4,2,8,259.682
4,2,16,254.392
4,2,32,185.125
4,2,64,165.181
4,4,1,130.156
4,4,2,172.025
4,4,4,297.961
4,4,8,322.995
4,4,16,340.1
4,4,32,255.853
4,4,64,328.934
4,8,1,256.33
4,8,2,371.487
4,8,4,433.712
4,8,8,300.161
4,8,16,320.561
4,8,32,412.857
4,8,64,433.728
4,16,1,300.1
4,16,2,336.221
4,16,4,443.345
4,16,8,376.198
4,16,16,342.512
4,16,32,183.798
4,16,64,424.243
4,32,1,433.953
4,32,2,422.828
4,32,4,359.512
4,32,8,358.308
4,32,16,575.488
4,32,32,358.108
4,32,64,800.678
4,64,1,418.354
4,64,2,326.882
4,64,4,430.746
4,64,8,460.435
4,64,16,339.243
4,64,32,637.528
4,64,64,625.809
8,1,1,16.8181
8,1,2,30.958
8,1,4,45.195
8,1,8,45.4843
8,1,16,48.0468
8,1,32,44.0075
8,1,64,41.3347
8,2,1,32.6185
8,2,2,64.3578
8,2,4,77.9168
8,2,8,98.8924
8,2,16,84.9908
8,2,32,78.0072
8,2,64,100.967
8,4,1,62.6145
8,4,2,135.063
8,4,4,152.154
8,4,8,138.61
8,4,16,112.449
8,4,32,112.714
8,4,64,106.12
8,8,1,92.7364
8,8,2,150.803
8,8,4,164.984
8,8,8,192.369
8,8,16,215.401
8,8,32,276.322
8,8,64,166.441
8,16,1,232.48
8,16,2,335.968
8,16,4,195.028
8,16,8,295.201
8,16,16,242.045
8,16,32,178.468
8,16,64,175.681
8,32,1,236.534
8,32,2,321.452
8,32,4,335.151
8,32,8,241.394
8,32,16,220.911
8,32,32,191.044
8,32,64,638.607
8,64,1,336.741
8,64,2,288.251
8,64,4,182.751
8,64,8,269.789
8,64,16,312.556
8,64,32,775.802
8,64,64,659.122
16,1,1,4.54271
16,1,2,9.1979
16,1,4,13.0761
16,1,8,13.232
16,1,16,13.8768
16,1,32,13.8543
16,1,64,13.1615
16,2,1,9.15878
16,2,2,18.795
16,2,4,26.2637
16,2,8,27.4512
16,2,16,28.6762
16,2,32,26.3974
16,2,64,22.4688
16,4,1,17.252
16,4,2,34.4215
16,4,4,53.5038
16,4,8,55.1776
16,4,16,53.287
16,4,32,45.1559
16,4,64,48.6773
16,8,1,36.4529
16,8,2,64.4441
16,8,4,85.3276
16,8,8,91.1458
16,8,16,78.3234
16,8,32,82.0443
16,8,64,108.549
16,16,1,67.8098
16,16,2,132.842
16,16,4,132.418
16,16,8,87.2711
16,16,16,87.3184
16,16,32,117.999
16,16,64,95.9693
16,32,1,100.146
16,32,2,95.2324
16,32,4,93.2154
16,32,8,120.926
16,32,16,94.9706
16,32,32,96.3335
16,32,64,608.248
16,64,1,90.6735
16,64,2,90.659
16,64,4,89.9714
16,64,8,109.287
16,64,16,135.318
16,64,32,555.94
16,64,64,583.066
