neighbor_size,blockDimX,blockDimY,ips
1,1,1,0.843417
4,1,1,1.09693
8,1,1,0.693892
16,1,1,0.704439
1,1,2,0.903019
4,1,2,0.834131
8,1,2,0.867494
16,1,2,0.634032
1,1,4,1.37125
4,1,4,0.693272
8,1,4,1.09029
16,1,4,0.643983
1,1,8,1.46981
4,1,8,0.695151
8,1,8,0.974473
16,1,8,0.629536
1,1,16,1.02864
4,1,16,1.05611
8,1,16,0.731677
16,1,16,0.619597
1,1,32,1.33824
4,1,32,0.756171
8,1,32,1.03857
16,1,32,0.655755
1,1,64,1.00015
4,1,64,0.733768
8,1,64,0.882234
16,1,64,0.637517
1,2,1,1.3549
4,2,1,1.15683
8,2,1,1.18803
16,2,1,1.16572
1,2,2,2.41359
4,2,2,1.70316
8,2,2,1.39213
16,2,2,1.43728
1,2,4,2.3968
4,2,4,1.1699
8,2,4,1.01365
16,2,4,0.846803
1,2,8,1.17279
4,2,8,1.03109
8,2,8,1.12224
16,2,8,1.45289
1,2,16,2.44761
4,2,16,1.85413
8,2,16,1.60771
16,2,16,1.57563
1,2,32,2.46682
4,2,32,2.01634
8,2,32,1.9292
16,2,32,1.61572
1,2,64,2.12603
4,2,64,1.62141
8,2,64,0.910289
16,2,64,1.37226
1,4,1,3.85958
4,4,1,3.21669
8,4,1,3.05164
16,4,1,2.50339
1,4,2,3.78323
4,4,2,2.87093
8,4,2,2.59364
16,4,2,1.79853
1,4,4,2.0395
4,4,4,3.05783
8,4,4,2.66894
16,4,4,2.17811
1,4,8,3.27156
4,4,8,2.7566
8,4,8,1.75546
16,4,8,1.34984
1,4,16,3.84319
4,4,16,3.19169
8,4,16,2.72497
16,4,16,1.37882
1,4,32,3.66421
4,4,32,3.21843
8,4,32,2.97375
16,4,32,2.44291
1,4,64,3.75721
4,4,64,2.9749
8,4,64,1.55884
16,4,64,1.05972
1,8,1,4.02069
4,8,1,4.04393
8,8,1,4.0897
16,8,1,2.71127
1,8,2,4.11507
4,8,2,3.94648
8,8,2,3.48249
16,8,2,2.90251
1,8,4,3.87382
4,8,4,3.74245
8,8,4,3.88097
16,8,4,3.35056
1,8,8,4.00581
4,8,8,3.75015
8,8,8,3.27417
16,8,8,2.82338
1,8,16,3.40884
4,8,16,3.94064
8,8,16,3.43549
16,8,16,3.06659
1,8,32,5.04637
4,8,32,3.72116
8,8,32,3.35028
16,8,32,3.24772
1,8,64,3.98567
4,8,64,4.44425
8,8,64,3.49866
16,8,64,2.81453
1,16,1,6.03521
4,16,1,3.92855
8,16,1,2.53242
16,16,1,3.65419
1,16,2,4.55283
4,16,2,4.03998
8,16,2,4.00089
16,16,2,3.73892
1,16,4,5.61407
4,16,4,4.41854
8,16,4,2.51536
16,16,4,3.32085
1,16,8,6.1067
4,16,8,5.37588
8,16,8,4.13507
16,16,8,3.40523
1,16,16,5.7676
4,16,16,4.97925
8,16,16,4.05707
16,16,16,3.5394
1,16,32,5.73545
4,16,32,4.036
8,16,32,3.66999
16,16,32,3.49108
1,16,64,5.07724
4,16,64,4.27211
8,16,64,5.0886
16,16,64,3.56584
1,32,1,4.83317
4,32,1,2.76216
8,32,1,4.3893
16,32,1,1.6498
1,32,2,4.1453
4,32,2,5.61939
8,32,2,4.30085
16,32,2,3.73925
1,32,4,5.98215
4,32,4,2.73827
8,32,4,5.11848
16,32,4,3.71818
1,32,8,5.86003
4,32,8,4.3906
8,32,8,5.0059
16,32,8,3.11979
1,32,16,4.38586
4,32,16,4.09079
8,32,16,3.84327
16,32,16,2.99996
1,32,32,5.96238
4,32,32,4.32182
8,32,32,4.63718
16,32,32,3.64584
1,32,64,5.19046
4,32,64,4.15973
8,32,64,4.86796
16,32,64,3.15782
1,64,1,5.40584
4,64,1,5.155
8,64,1,3.86051
16,64,1,1.44963
1,64,2,6.09545
4,64,2,4.85353
8,64,2,4.51894
16,64,2,2.05589
1,64,4,3.52819
4,64,4,2.33831
8,64,4,4.89035
16,64,4,3.79725
1,64,8,5.41889
4,64,8,5.17918
8,64,8,3.71896
16,64,8,3.72048
1,64,16,6.25929
4,64,16,4.3159
8,64,16,4.64026
16,64,16,1.48365
1,64,32,4.33451
4,64,32,2.53907
8,64,32,4.84877
16,64,32,3.66498
1,64,64,5.97975
4,64,64,5.18622
8,64,64,4.54718
16,64,64,3.33714
